* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	69.022973
20.290907	69.022973
20.586045	69.022973
20.885476	69.041959
21.189262	69.068538
21.497467	69.094909
21.810155	69.120197
22.127391	69.143718
22.449241	69.164016
22.775773	69.181613
23.107054	69.198764
23.443154	69.205121
23.784142	69.211571
24.130091	69.218115
24.481071	69.224754
24.837156	69.231489
25.198421	69.238322
25.564940	69.239582
25.936791	69.233394
26.314050	69.227115
26.696797	69.220745
27.085111	69.214282
27.479073	69.207726
27.878765	69.201074
28.284271	69.189462
28.695675	69.174413
29.113064	69.159145
29.536523	69.139840
29.966142	69.118613
30.402009	69.095990
30.844217	69.072393
31.292856	69.046676
31.748021	69.020107
32.209807	68.993720
32.678309	68.965519
33.153626	68.935181
33.635857	68.908835
34.125101	68.879259
34.621462	68.843915
35.125043	68.808630
35.635949	68.773380
36.154286	68.738100
36.680162	68.702790
37.213687	68.666502
37.754973	68.624140
38.304131	68.581777
38.861278	68.539118
39.426528	68.488332
40.000000	68.444230
40.581813	68.391310
41.172089	68.343762
41.770951	68.296391
42.378524	68.243430
42.994934	68.190447
43.620309	68.147969
44.254781	68.095556
44.898482	68.042641
45.551545	67.989704
46.214108	67.936744
46.886308	67.883761
47.568285	67.830854
48.260181	67.777935
48.962142	67.724993
49.674312	67.661040
50.396842	67.608135
51.129881	67.548294
51.873582	67.491254
52.628101	67.421737
53.393594	67.363462
54.170222	67.299577
54.958146	67.239199
55.757531	67.171756
56.568542	67.112644
57.391351	67.043931
58.226127	66.986084
59.073046	66.927098
59.932283	66.859518
60.804018	66.799299
61.688433	66.735376
62.585712	66.682459
63.496042	66.621006
64.419613	66.565009
65.356618	66.501712
66.307252	66.438451
67.271713	66.382501
68.250203	66.320957
69.242925	66.255925
70.250086	66.193150
71.271897	66.129351
72.308571	66.065339
73.360323	66.002809
74.427374	65.932247
75.509945	65.861625
76.608262	65.791061
77.722555	65.723870
78.853056	65.664507
80.000000	65.579302
81.163627	65.508687
82.344179	65.438112
83.541903	65.367531
84.757048	65.296903
85.989867	65.211706
87.240619	65.141150
88.509563	65.067687
89.796964	64.985319
91.103091	64.914759
92.428216	64.837754
93.772615	64.758956
95.136569	64.673743
96.520362	64.603158
97.924283	64.517957
99.348625	64.432755
100.793684	64.362162
102.259762	64.276950
103.747164	64.191737
105.256202	64.106522
106.787188	64.020088
108.340444	63.936089
109.916292	63.830269
111.515061	63.746309
113.137085	63.640422
114.782702	63.551444
116.452255	63.450565
118.146092	63.366380
119.864566	63.266592
121.608036	63.176787
123.376866	63.081572
125.171424	62.986948
126.992084	62.902993
128.839227	62.797081
130.713236	62.713133
132.614504	62.626277
134.543426	62.526454
136.500406	62.439337
138.485850	62.355371
140.500173	62.249514
142.543795	62.165555
144.617142	62.059663
146.720647	61.975712
148.854748	61.886167
151.019890	61.786310
153.216525	61.701893
155.445111	61.617945
157.706112	61.533995
160.000000	61.450043
162.327254	61.374937
164.688358	61.289727
167.083805	61.219102
169.514095	61.133905
171.979734	61.063347
174.481237	60.992730
177.019125	60.922159
179.593928	60.866150
182.206182	60.795606
184.856431	60.738401
187.545230	60.674537
190.273138	60.613062
193.040725	60.557639
195.848567	60.504736
