* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	70.848353
20.290907	70.848353
20.586045	70.848353
20.885476	70.848353
21.189262	70.848353
21.497467	70.838030
21.810155	70.822712
22.127391	70.807171
22.449241	70.791403
22.775773	70.777689
23.107054	70.764505
23.443154	70.751128
23.784142	70.737557
24.130091	70.723841
24.481071	70.710116
24.837156	70.696191
25.198421	70.682063
25.564940	70.667730
25.936791	70.651895
26.314050	70.635655
26.696797	70.619178
27.085111	70.602067
27.479073	70.582691
27.878765	70.563034
28.284271	70.542817
28.695675	70.518523
29.113064	70.493875
29.536523	70.466480
29.966142	70.437018
30.402009	70.407591
30.844217	70.378156
31.292856	70.347186
31.748021	70.314463
32.209807	70.281795
32.678309	70.249004
33.153626	70.213332
33.635857	70.176393
34.125101	70.139720
34.621462	70.102901
35.125043	70.066043
35.635949	70.025170
36.154286	69.983073
36.680162	69.940945
37.213687	69.898998
37.754973	69.856931
38.304131	69.814682
38.861278	69.765697
39.426528	69.716679
40.000000	69.667621
40.581813	69.618522
41.172089	69.569383
41.770951	69.520367
42.378524	69.463313
42.994934	69.392860
43.620309	69.333360
44.254781	69.274495
44.898482	69.203448
45.551545	69.144059
46.214108	69.070518
46.886308	68.996944
47.568285	68.923339
48.260181	68.849701
48.962142	68.776100
49.674312	68.702550
50.396842	68.628968
51.129881	68.555354
51.873582	68.481708
52.628101	68.392984
53.393594	68.319388
54.170222	68.245760
54.958146	68.172123
55.757531	68.098583
56.568542	68.025010
57.391351	67.951406
58.226127	67.877769
59.073046	67.804163
59.932283	67.730615
60.804018	67.646702
61.688433	67.568165
62.585712	67.494612
63.496042	67.413108
64.419613	67.332219
65.356618	67.243461
66.307252	67.159235
67.271713	67.081004
68.250203	66.983249
69.242925	66.903449
70.250086	66.807257
71.271897	66.725890
72.308571	66.637122
73.360323	66.553388
74.427374	66.459528
75.509945	66.377400
76.608262	66.281930
77.722555	66.201406
78.853056	66.103229
80.000000	66.015608
81.163627	65.927225
82.344179	65.829156
83.541903	65.749181
84.757048	65.653163
85.989867	65.554991
87.240619	65.467673
88.509563	65.378977
89.796964	65.290093
91.103091	65.203007
92.428216	65.112508
93.772615	65.027032
95.136569	64.949133
96.520362	64.861338
97.924283	64.787726
99.348625	64.698915
100.793684	64.617456
102.259762	64.536523
103.747164	64.461673
105.256202	64.374182
106.787188	64.285665
108.340444	64.211763
109.916292	64.129991
111.515061	64.049363
113.137085	63.974214
114.782702	63.887026
116.452255	63.798195
118.146092	63.724610
119.864566	63.642527
121.608036	63.562203
123.376866	63.473457
125.171424	63.388651
126.992084	63.295865
128.839227	63.212667
130.713236	63.133432
132.614504	63.044706
134.543426	62.958784
136.500406	62.880896
138.485850	62.782804
140.500173	62.704658
142.543795	62.606818
144.617142	62.527104
146.720647	62.438369
148.854748	62.352938
151.019890	62.254828
153.216525	62.156721
155.445111	62.078825
157.706112	61.980666
160.000000	61.902815
162.327254	61.816841
164.688358	61.727984
167.083805	61.654440
169.514095	61.580864
171.979734	61.507256
174.481237	61.433615
177.019125	61.373559
179.593928	61.301612
182.206182	61.231530
184.856431	61.169658
187.545230	61.096086
190.273138	61.022481
193.040725	60.948844
195.848567	60.888497
198.697250	60.816827
201.587368	60.743284
204.519524	60.669709
207.494329	60.596102
210.512403	60.522463
213.574377	60.462301
216.680888	60.403435
219.832584	60.344568
223.030122	60.293744
226.274170	60.248748
229.565404	60.206593
232.904509	60.164595
236.292183	60.133127
239.729132	60.106346
243.216073	60.085567
