rank,name,source,weighted_rms_db,weighted_mae_db,shape_correlation,rms_1_6k_db,rms_6_8k_db,rms_8_10k_db,rms_10_12k_db,coverage_hz,path
1,Shuoer Cadenza 4,Jaytiss,0.7156898962804453,0.5832447657692144,0.9481683985817474,0.6455473889016825,0.9072180949510137,1.288295221646932,0.8358971172437744,20.0-19955.5,measurements/Jaytiss/data/in-ear/Shuoer Cadenza 4.csv
2,ThieAudio Hype 4,Jaytiss,0.8328609285220708,0.6798882452790167,0.9248047614109163,0.7465474214886765,0.587534890148221,1.9235848378547016,1.5376048056636484,20.0-19955.5,measurements/Jaytiss/data/in-ear/ThieAudio Hype 4.csv
3,ThieAudio Hype 10,Jaytiss,0.9610430041173913,0.6956346301967942,0.8290973004869778,0.8193747003706843,1.2774294254245404,1.5835486110880628,2.6440564558252118,20.0-19955.5,measurements/Jaytiss/data/in-ear/ThieAudio Hype 10.csv
4,Juzear x Z Reviews Defiant,Jaytiss,1.008156652850038,0.6255882217902519,0.8754248136806649,0.6646268626584786,1.7688589440544638,1.5428604296312376,4.299092061549733,20.0-19955.5,measurements/Jaytiss/data/in-ear/Juzear x Z Reviews Defiant.csv
5,Shozy P20,Jaytiss,1.0284497594012785,0.6598385089843263,0.8434306010468069,0.6165427878806135,1.9467511039709047,2.848286248569415,1.426701652914203,20.0-19955.5,measurements/Jaytiss/data/in-ear/Shozy P20.csv
6,Juzear 61T,Jaytiss,1.0516266261398626,0.5235812543246637,0.7353113899786329,0.34630379478042767,1.7810265979067328,2.332801887739835,6.009441988679854,20.0-19955.5,measurements/Jaytiss/data/in-ear/Juzear 61T.csv
7,Xenns Mangird Top Pro,Jaytiss,1.0951468913172844,0.862795782462933,0.9230903093582083,1.0476213142811297,0.9161944474523488,1.5536350288858438,2.5617808068342836,20.0-19955.5,measurements/Jaytiss/data/in-ear/Xenns Mangird Top Pro.csv
8,Sony XBA-N3,Jaytiss,1.1062223339275632,0.760949360735043,0.6595306283036909,0.8891877833823105,0.9273709923295234,1.719398664049108,5.157543788258109,20.0-19955.5,measurements/Jaytiss/data/in-ear/Sony XBA-N3.csv
9,7th Acoustics Supernova,Jaytiss,1.109725904883503,0.820690227720237,0.8699897772498789,0.9986031047454633,1.7463962786684097,1.247145993320165,1.416377761863796,20.0-19955.5,measurements/Jaytiss/data/in-ear/7th Acoustics Supernova.csv
10,ZiiGaat Odyssey,Jaytiss,1.1273361309506897,0.8947167619745494,0.8066509265123336,1.1065886515278083,1.0963515416404481,1.6143035900330287,0.6683873325759561,20.0-19955.5,measurements/Jaytiss/data/in-ear/ZiiGaat Odyssey.csv
