AUTOEQ EARPRINT MATCH — TOP 100
Source: Jaytiss
Match band: 1–12 kHz
Lower RMS = closer FR shape after 1 kHz anchoring

Rank | IEM | RMS | MAE | Corr | 1-6k | 6-8k | 8-10k | 10-12k
-------------------------------------------------------------------------------------------------------------------
   1 | Shuoer Cadenza 4 | 0.716 | 0.583 | 0.9482 | 0.65 | 0.91 | 1.29 | 0.84
   2 | ThieAudio Hype 4 | 0.833 | 0.680 | 0.9248 | 0.75 | 0.59 | 1.92 | 1.54
   3 | ThieAudio Hype 10 | 0.961 | 0.696 | 0.8291 | 0.82 | 1.28 | 1.58 | 2.64
   4 | Juzear x Z Reviews Defiant | 1.008 | 0.626 | 0.8754 | 0.66 | 1.77 | 1.54 | 4.30
   5 | Shozy P20 | 1.028 | 0.660 | 0.8434 | 0.62 | 1.95 | 2.85 | 1.43
   6 | Juzear 61T | 1.052 | 0.524 | 0.7353 | 0.35 | 1.78 | 2.33 | 6.01
   7 | Xenns Mangird Top Pro | 1.095 | 0.863 | 0.9231 | 1.05 | 0.92 | 1.55 | 2.56
   8 | Sony XBA-N3 | 1.106 | 0.761 | 0.6595 | 0.89 | 0.93 | 1.72 | 5.16
   9 | 7th Acoustics Supernova | 1.110 | 0.821 | 0.8700 | 1.00 | 1.75 | 1.25 | 1.42
  10 | ZiiGaat Odyssey | 1.127 | 0.895 | 0.8067 | 1.11 | 1.10 | 1.61 | 0.67
  11 | Tanchjim Kara | 1.130 | 0.550 | 0.7584 | 0.48 | 1.32 | 1.02 | 8.19
  12 | Yanyin Cannon II | 1.137 | 0.771 | 0.7345 | 0.96 | 1.22 | 1.55 | 4.51
  13 | Hisenior Mega 5 EST | 1.149 | 0.917 | 0.8829 | 1.06 | 1.68 | 1.43 | 0.87
  14 | 7Hz x Crinacle Zero 2 | 1.202 | 0.901 | 0.8715 | 1.17 | 1.05 | 1.95 | 1.27
  15 | Elysian Pilgrim | 1.219 | 0.887 | 0.7421 | 1.03 | 0.56 | 3.12 | 3.38
  16 | DUNU Mirai | 1.241 | 0.786 | 0.7799 | 0.82 | 1.18 | 1.21 | 7.75
  17 | Shuoer Mystic 8 | 1.248 | 0.895 | 0.6995 | 0.83 | 1.23 | 3.10 | 5.67
  18 | Kiwi Ears Quintet | 1.249 | 0.961 | 0.8566 | 1.21 | 1.38 | 1.64 | 1.48
  19 | DUNU x Gizaudio DaVinci | 1.271 | 0.986 | 0.8780 | 1.14 | 1.98 | 0.93 | 2.84
  20 | Binary Acoustics x Gizaudio Chopin | 1.272 | 0.911 | 0.7760 | 0.98 | 1.23 | 1.63 | 6.44
  21 | ThieAudio Valhalla | 1.290 | 0.854 | 0.8190 | 0.73 | 2.49 | 2.36 | 5.41
  22 | TANGZU BaJie | 1.322 | 0.899 | 0.7731 | 1.05 | 1.49 | 3.48 | 2.55
  23 | Moondrop x Crinacle DUSK | 1.338 | 1.041 | 0.7703 | 1.20 | 0.78 | 2.09 | 5.01
  24 | Elysian Diva 2023 (red switch) | 1.342 | 0.949 | 0.8271 | 1.13 | 1.74 | 2.98 | 2.08
  25 | ThieAudio Monarch MKII | 1.344 | 0.898 | 0.7711 | 1.12 | 1.21 | 3.06 | 4.04
  26 | Elysian Diva 2023 (blue switch) | 1.364 | 0.893 | 0.8387 | 0.95 | 2.24 | 3.49 | 2.77
  27 | Shuoer S15 | 1.370 | 1.101 | 0.7666 | 1.22 | 1.78 | 1.86 | 3.45
  28 | MYER-AUDIO CKLVX SLIIVO SLT6 (off-off) | 1.388 | 1.077 | 0.6986 | 1.25 | 1.94 | 1.70 | 3.01
  29 | MYER-AUDIO CKLVX SLIIVO SLT6 (on-off) | 1.401 | 1.103 | 0.6887 | 1.26 | 1.94 | 1.76 | 3.14
  30 | MYER-AUDIO CKLVX SLIIVO SLT6 (on-on) | 1.403 | 1.114 | 0.6946 | 1.26 | 2.03 | 1.60 | 2.88
  31 | Punch Audio Martilo | 1.404 | 0.988 | 0.8458 | 1.11 | 2.16 | 3.15 | 2.29
  32 | MYER-AUDIO CKLVX SLIIVO SLT6 (off-on) | 1.406 | 1.099 | 0.6933 | 1.26 | 2.09 | 1.60 | 2.77
  33 | ThieAudio Hype 2 | 1.414 | 1.050 | 0.6928 | 1.34 | 0.36 | 1.47 | 5.39
  34 | Truthear x Crinacle Zero RED | 1.418 | 0.855 | 0.7438 | 0.71 | 1.93 | 1.69 | 9.22
  35 | Tin HiFi T5S | 1.425 | 1.088 | 0.8131 | 1.13 | 1.89 | 3.09 | 3.92
  36 | 64 Audio Solo | 1.426 | 1.155 | 0.7202 | 1.14 | 2.51 | 2.04 | 3.27
  37 | SeeAudio x Crinacle Yume Midnight | 1.428 | 0.778 | 0.6560 | 0.55 | 3.25 | 3.33 | 4.84
  38 | Elysian Diva 2023 (white switch) | 1.431 | 0.951 | 0.8443 | 0.97 | 2.76 | 3.20 | 2.50
  39 | Truthear x Crinacle Zero RED (Bass+) | 1.458 | 1.028 | 0.8034 | 0.85 | 3.07 | 1.43 | 6.33
  40 | ThieAudio Origin | 1.473 | 1.197 | 0.6686 | 1.16 | 2.73 | 2.49 | 1.73
  41 | Padsmith In Ear Monitors | 1.478 | 0.873 | 0.7536 | 0.89 | 2.31 | 4.55 | 3.10
  42 | Kiwi Ears Astral | 1.490 | 0.940 | 0.6852 | 0.93 | 1.50 | 4.09 | 6.61
  43 | MiM Audio Dark Magician | 1.492 | 1.040 | 0.6560 | 1.20 | 1.36 | 2.98 | 5.95
  44 | KEFINE Quatio (black nozzle) | 1.501 | 1.100 | 0.7159 | 1.28 | 1.97 | 0.91 | 5.88
  45 | SoftEars Studio 4 | 1.522 | 0.969 | 0.7509 | 0.94 | 0.99 | 4.19 | 7.45
  46 | 7Hz Salnotes Zero | 1.540 | 1.130 | 0.8229 | 1.40 | 1.73 | 1.02 | 5.45
  47 | Xenns UP | 1.543 | 0.944 | 0.6751 | 1.13 | 0.91 | 4.68 | 4.73
  48 | Canpur CP622B | 1.571 | 1.324 | 0.7113 | 1.41 | 1.68 | 3.10 | 2.85
  49 | Moondrop Concerto | 1.575 | 0.953 | 0.7628 | 0.96 | 1.46 | 3.93 | 8.05
  50 | IO Audio Volare | 1.594 | 1.272 | 0.7803 | 1.45 | 1.30 | 2.72 | 4.59
  51 | Sennheiser IE 200 | 1.604 | 1.207 | 0.5909 | 1.46 | 2.02 | 2.70 | 2.38
  52 | KZ Zenith (on-on-off-off) | 1.611 | 1.138 | 0.8295 | 1.07 | 2.20 | 3.21 | 7.44
  53 | AFUL Performer 5 | 1.615 | 1.148 | 0.6014 | 1.29 | 1.94 | 4.05 | 3.12
  54 | Shuoer Cadenza 12 2024 | 1.618 | 1.147 | 0.7596 | 1.09 | 2.23 | 4.36 | 4.99
  55 | SoftEars Volume S | 1.628 | 1.056 | 0.8368 | 0.84 | 3.62 | 2.27 | 6.63
  56 | Lime Ears Maris | 1.634 | 0.999 | 0.7661 | 1.56 | 1.28 | 2.97 | 2.24
  57 | Fatfreq Grand Maestro (blue module, up) | 1.647 | 1.163 | 0.9147 | 1.39 | 3.14 | 1.45 | 1.53
  58 | Xenns Mangird Tea Pro 2024 | 1.650 | 1.248 | 0.7569 | 1.43 | 2.30 | 2.35 | 4.30
  59 | 64 Audio U4S (m12 Apex module) | 1.655 | 1.106 | 0.5307 | 1.47 | 2.05 | 0.81 | 6.07
  60 | Kiwi Ears KE4 | 1.655 | 1.311 | 0.6882 | 1.61 | 1.52 | 1.68 | 3.75
  61 | DUNU Talos | 1.666 | 1.257 | 0.8526 | 1.51 | 2.50 | 2.14 | 1.85
  62 | ARTTI T10 Pro | 1.675 | 1.091 | 0.6812 | 1.51 | 1.08 | 2.00 | 6.69
  63 | 64 Audio U6t (m15 Apex module) | 1.680 | 1.263 | 0.7119 | 1.31 | 2.46 | 1.24 | 7.49
  64 | Elysian Apostle | 1.689 | 1.298 | 0.7555 | 1.39 | 2.12 | 3.27 | 5.02
  65 | Campfire Audio Moon Rover | 1.690 | 1.201 | 0.5445 | 1.31 | 2.78 | 3.14 | 4.35
  66 | Oriveti OH700VB (bass switch on) | 1.690 | 1.219 | 0.7381 | 1.34 | 2.46 | 1.69 | 6.98
  67 | Simgot Audio EA1000 (gold nozzle) | 1.693 | 1.005 | 0.6680 | 0.99 | 1.03 | 4.79 | 8.59
  68 | Elysian Annihilator (2023) | 1.696 | 1.353 | 0.8332 | 1.59 | 1.32 | 2.90 | 3.91
  69 | 64 Audio Volur | 1.699 | 1.150 | 0.6027 | 1.29 | 0.70 | 4.50 | 6.60
  70 | CCA Polaris (on-on-on-on) | 1.705 | 1.143 | 0.7448 | 1.18 | 2.09 | 3.92 | 7.15
  71 | Lime Ears Incognita | 1.706 | 0.807 | 0.6080 | 0.50 | 2.46 | 4.77 | 9.42
  72 | 64 Audio Volur (m15 Apex module) | 1.707 | 1.141 | 0.6424 | 1.29 | 1.25 | 4.20 | 6.85
  73 | Fatfreq Scarlet Mini | 1.714 | 1.309 | 0.6523 | 1.44 | 2.12 | 2.72 | 5.81
  74 | CVJ Aria | 1.721 | 1.021 | 0.5901 | 0.97 | 3.21 | 4.65 | 4.40
  75 | Oriveti OH700VB (bass switch off) | 1.728 | 1.265 | 0.7384 | 1.40 | 2.49 | 1.62 | 6.91
  76 | ZiiGaat x Fresh Reviews Arete | 1.749 | 1.081 | 0.6694 | 0.89 | 2.31 | 4.89 | 8.11
  77 | CrinEar Meta | 1.762 | 1.325 | 0.8471 | 1.37 | 3.37 | 0.94 | 5.37
  78 | Xenns Mangird Tea2 | 1.767 | 1.292 | 0.6419 | 1.65 | 0.84 | 2.84 | 5.62
  79 | 7Hz Sonus | 1.767 | 1.231 | 0.7789 | 0.93 | 4.52 | 2.24 | 3.98
  80 | Moondrop Darksaber | 1.780 | 1.206 | 0.7454 | 1.27 | 1.52 | 4.78 | 6.87
  81 | Vision Ears VE10 | 1.783 | 1.170 | 0.7632 | 1.60 | 2.68 | 2.48 | 1.82
  82 | ThieAudio Oracle MKII | 1.789 | 1.220 | 0.5430 | 1.39 | 1.31 | 3.96 | 7.45
  83 | ThieAudio Oracle | 1.794 | 1.268 | 0.5791 | 1.30 | 1.29 | 4.35 | 7.98
  84 | SoundPeats Capsule3 Pro+ | 1.801 | 1.231 | 0.7341 | 1.18 | 2.07 | 4.35 | 8.08
  85 | Final Audio B3 | 1.803 | 1.400 | 0.5369 | 1.67 | 2.57 | 1.77 | 2.89
  86 | 64 Audio Volur (mX Apex module) | 1.803 | 1.160 | 0.6018 | 1.33 | 0.65 | 4.93 | 7.24
  87 | Binary Acoustics Dynaquattro | 1.804 | 1.340 | 0.8115 | 1.74 | 1.62 | 2.60 | 3.29
  88 | Sennheiser IE 600 | 1.805 | 1.223 | 0.5163 | 1.10 | 2.88 | 5.66 | 2.49
  89 | Moondrop LAN | 1.828 | 1.365 | 0.7477 | 1.51 | 1.08 | 4.11 | 6.70
  90 | 64 Audio Volur (m12 Apex module) | 1.831 | 1.115 | 0.5845 | 1.33 | 0.53 | 5.17 | 7.34
  91 | ZiiGaat x HBB Jupiter | 1.833 | 1.246 | 0.6560 | 1.08 | 2.06 | 5.73 | 6.63
  92 | SWEEAR SR11 | 1.835 | 1.133 | 0.5877 | 0.91 | 1.71 | 5.46 | 9.31
  93 | ZiiGaat Luna | 1.837 | 1.394 | 0.4978 | 1.27 | 3.22 | 3.90 | 5.21
  94 | Penon Serial | 1.837 | 1.157 | 0.6605 | 1.18 | 2.18 | 5.40 | 6.24
  95 | Kiwi Ears x HBB Punch | 1.840 | 1.487 | 0.6197 | 1.67 | 1.36 | 3.94 | 3.67
  96 | Kiwi Ears Etude | 1.845 | 1.286 | 0.5855 | 1.38 | 0.74 | 4.27 | 8.64
  97 | FiiO FD15 | 1.851 | 0.980 | 0.7343 | 0.65 | 3.00 | 5.99 | 7.22
  98 | TANGZU YuXuanJi | 1.851 | 1.150 | 0.7230 | 1.09 | 3.58 | 4.40 | 5.35
  99 | PULA PA02 | 1.856 | 1.394 | 0.8477 | 1.38 | 3.36 | 4.02 | 1.99
 100 | Moondrop Meteor | 1.857 | 0.885 | 0.6635 | 0.63 | 0.77 | 6.28 | 10.34
